bonica.rid,bonica.cid,name,lname,ffname,gender,icpsr,id_fec
cand1002,3818430939,"jordan, james d",jordan,james d,M,20738,H6OH04082
cand100224,NA,"fulani, lenora b",fulani,lenora b,F,P80001118,P80001118
cand100270nominee,3120056714,"trump, donald j",trump,donald j,M,P80001571nominee,P80001571
cand1003,29085812381,"wilson, charles a jr",wilson,charles a,M,20739,H6OH06095
cand1004,5e15,"sutton, betty s",sutton,betty s,F,20740,H6OH13133
cand100407,NA,"cox, john h",cox,john h,M,P80002983,P80002983
cand100409,2870956102,"smith, michael charles",smith,michael charles,M,P80003007,P80003007
cand100417,4694071919,"phillies, george david joseph",phillies,george david joseph,M,P80003080,P80003080
cand100434,5503152222,"vilsack, thomas j",vilsack,thomas j,M,P80003262,P80003262
cand100436,4774188326,"jingozian, michael paul",jingozian,michael paul,M,P80003304,P80003304
cand100440,27695518609,"romney, mitt",romney,mitt,M,P80003353,P80003353
cand100440nominee,27695518609,"romney, mitt ryan, paul d",romney,mitt ryan,M,P80003353nominee,P80003353
cand100442,3820446910,"gilmore, james s iii",gilmore,james s,M,P80003379,P80003379
cand100443,5e15,"smith, christine",smith,christine,F,P80003403,P80003403
cand100447,2707880246,"link, alden",link,alden,M,P80003445,P80003445
cand100449,NA,"mcenulty, frank edward",mcenulty,frank edward,M,P80003460,P80003460
cand100450,29175890251,"huckabee, mike",huckabee,mike,M,S2AR00032,P80003478
cand100455,4109319948,"allen, donald kenneth",allen,donald kenneth,M,P80003528,H0OH06163
cand1005,108807118,"space, zachary t",space,zachary t,M,20741,H6OH18157
cand100503,2265630969,"gilbert, daniel ayers",gilbert,daniel ayers,M,P80004013,P80004013
cand100505,5261638130,"lamagna, dal",lamagna,dal,M,P80004039,H6NY03122
cand100525,NA,"vaughn, corrogan r",vaughn,corrogan r,U,P80004237,P80004237
cand100531,3717248711,"aranjo, roland",aranjo,roland,M,P80004294,P80004294
cand100552,NA,"koenig, william ronald",koenig,william ronald,M,P80004500,P80004500
cand100577,2469757731,"hewes, henry",hewes,henry,M,P80004765,P80004765
cand100581,NA,"fendig, h neal jr cap",fendig,h neal cap,M,P80004807,P80004807
cand100599,4154369841,"root, wayne a",root,wayne a,M,P80004997,P80004997
cand1006,5e15,"fallin, mary c",fallin,mary c,F,20742,H6OK05160
cand100601,NA,"powell, samuel lyndell",powell,samuel lyndell,M,P80005010,P80005010
cand100608,4616027716,"curry, jerry ralph",curry,jerry ralph,M,P80005085,P80005085
cand100611,3968003575,"allen, jonathan edward",allen,jonathan edward,M,P80005119,P80005119
cand100628,5e15,"barbour, haley",barbour,haley,F,P80005291,MS5839
cand100640,NA,"ruwart, mary j",ruwart,mary j,F,P80005416,P80005416
cand100648,NA,"baldwin, charles obadiah",baldwin,charles obadiah,M,P80005499,P80005499
cand1007,5754647968,"altmire, jason",altmire,jason,M,20743,H6PA04110
cand100715,5724228928,"mccord, robert m",mccord,robert m,M,PA105039,PA_c_2014C1132
cand100786,4154372684,"beiler, chet",beiler,chet,M,H6PA16312,H6PA16312
cand1008,3002004392,"sestak, joseph a jr",sestak,joseph a,M,20744,H6PA07105
cand1009,2410720106,"murphy, patrick j",murphy,patrick j,M,20745,H6PA08194
cand1010,2727898514,"carney, christopher",carney,christopher,M,20746,H6PA10109
cand1011,3818441133,"davis, david",davis,david,M,20747,H6TN01313
cand1012,29175854605,"cohen, stephen i",cohen,stephen i,M,20748,H6TN09068
cand101289,4096314677,"morrill, michael",morrill,michael,M,PA105789,PA105789
cand1013,4498907913,"foster, g william bil",foster,g william bil,M,20749,H8IL14067
cand1014,3820440644,"welch, peter",welch,peter,M,20750,H6VT00160
cand1015,29175860411,"kagen, steven leslie",kagen,steven leslie,M,20751,H6WI08122
cand101534,33049165427,"cleek, n eugene",cleek,n eugene,M,H6CA03117,H6CA03117
cand101559,3822466649,"swann, lynn",swann,lynn,U,PA106138,PA106138
cand1016,5e15,"richardson, laura",richardson,laura,F,20752,H8CA37137
cand101699,NA,"casey jr, bob",casey,bob,M,PA12511,PA12511
cand1017,3170119036,"broun, paul collins",broun,paul collins,M,20753,H8GA10049
cand101706,29195862297,"corbett, thomas & cawley, jim",corbett,thomas & cawley,M,PA12904,PA12904
cand101741,NA,"fisher, mike",fisher,mike,M,PA13872,PA13872
cand101745,NA,"onorato, dan & conklin, h scott",onorato,dan & conklin,U,PA142942,PA142942
cand1018,4216415982,"tsongas, nicola",tsongas,nicola,M,20754,H8MA05143
cand101828,2901970716,"lucius, casey",lucius,casey,U,H6CA20145,H6CA20145
cand101885,NA,"schneider, helene",schneider,helene,F,H6CA24311,H6CA24311
cand1019,29095829157,"latta, robert edward",latta,robert edward,M,20755,H8OH05036
cand101935,NA,"hafer, barbara h",hafer,barbara h,F,PA14596,H0PA12140
cand1020,4020274075,"wittman, robert j",wittman,robert j,M,20756,H8VA01147
cand102045,NA,"wagner, jack",wagner,jack,M,PA20363,PA20363
cand102081,3822468292,"evans, dwight",evans,dwight,M,21566,H6PA02171
cand1021,5e15,"carson, andre",carson,andre,M,20757,H8IN07184
cand102167,3818428883,"williams, anthony hardy",williams,anthony hardy,M,PA2445,PA2445
cand102193,500003e10,"vince, lou",vince,lou,F,H6CA25151,H6CA25151
cand102197,5e15,"gutzeit, maria",gutzeit,maria,F,H6CA25169,H6CA25169
cand1022,3693215651,"bilirakis, gus michael",bilirakis,gus michael,M,20758,H6FL09070
cand102226,NA,"bernal, benito benny",bernal,benito benny,M,H6CA29203,H6CA29203
cand102231,35370656371,"shapiro, joshua d josh",shapiro,joshua d josh,M,PA6753,PA6454796
cand102248,500001e10,"helm, susan c",helm,susan c,F,H4PA17059,H4PA17059
cand102282,3818426642,"boyle, brendan f",boyle,brendan f,M,21548,H4PA13199
cand102287,3820441478,"rendell, ed",rendell,ed,M,PA6810,PA6810
cand1023,2294650316,"scalise, stephen j",scalise,stephen j,M,20759,H0LA01087
cand102317,26391624244,"musante, marcus",musante,marcus,M,H6CA44111,H6CA44111
cand102322,3818422311,"castillo, christopher",castillo,christopher,M,H6CA44129,H6CA44129
cand102330,3822459831,"kortz, bill",kortz,bill,M,PA8254,S0PA00400
cand102349,3099052383,"santarsiero, steven j",santarsiero,steven j,M,PA9087,H6PA08228
cand102352,5754771233,"smucker, lloyd k",smucker,lloyd k,M,21745,H6PA16320
cand102368,500003e10,"schott, lynn",schott,lynn,F,H6CA46108,H6CA46108
cand1024,3492205476,"cazayoux, donald j",cazayoux,donald j,M,20760,H8LA06022
cand1026,5e15,"speier, jackie",speier,jackie,F,20762,H8CA12171
cand102613,5e15,"morgan, patricia l",morgan,patricia l,F,RI108596,RI13006195
cand102667,29075824903,"robitaille, john f",robitaille,john f,M,RI108675,RI108675
cand1027,5e15,"edwards, donna fern",edwards,donna fern,F,20763,H6MD04183
cand102789,29105831303,"caprio, frank t",caprio,frank t,M,RI12404,RI12404
cand1028,2594818833,"bright, bobby neal sr",bright,bobby neal,M,20900,H8AL02130
cand102860,4091302239,"bennett, james s",bennett,james s,M,RI133483,RI133483
cand102880,3818438926,"healey, robert j jr",healey,robert j,M,RI135788,ri_TEMP_b86798fd9c
cand1029,5e15,"kirkpatrick, ann",kirkpatrick,ann,F,20902,H8AZ01104
cand102908,5e15,"york, myrth b",york,myrth b,F,RI139119,RI139119
cand102981,5e15,"raimondo, gina m",raimondo,gina m,F,RI145666,RI145666
cand103088,NA,"lynch, patrick",lynch,patrick,M,RI16521,ri_TEMP_c30e949214
cand1031,29055799299,"polis, jared",polis,jared,M,20904,H8CO02137
cand103133,3324178049,"pires, antonio j",pires,antonio j,M,RI18159,RI18159
cand1032,500001e10,"markey, elizabeth helen",markey,elizabeth helen,F,20905,H8CO04067
cand103212,26581949946,"giroux, todd",giroux,todd,M,RI352061,RI352061
cand103214,2802922668,"block, kenneth j",block,kenneth j,M,RI352065,RI352065
cand103232,4087307919,"carcieri, donald l",carcieri,donald l,M,RI6816,RI6816
cand103258,3818428580,"moffitt, victor g",moffitt,victor g,M,RI7683,RI7683
cand103264,3822458474,"trillo, joseph a",trillo,joseph a,M,RI6608401,RI6608401
cand1033,29105826265,"coffman, mike",coffman,mike,M,20906,H2CO00019
cand103307,NA,"correa, jose luis lou",correa,jose luis lou,M,21711,H6CA46116
cand103308,NA,"bird, robert mario",bird,robert mario,M,S0AK00105,S0AK00105
cand103310,3818438206,"miller, joseph w",miller,joseph w,M,S0AK00121,S0AK00121
cand103311,NA,"mcadams, scott",mcadams,scott,M,S0AK00139,S0AK00139
cand103327,NA,"jones, doug",jones,doug,M,41705,S0AL00156
cand103328,NA,"barnes, william g",barnes,william g,M,S0AL00164,S0AL00164
cand103332,4073310469,"coleman, curtis",coleman,curtis,M,S0AR00036,S0AR00036
cand103333,3818446851,"ramey, fred",ramey,fred,M,S0AR00044,S0AR00044
cand103334,4894264899,"cox, thomas f",cox,thomas f,M,S0AR00051,S0AR00051
cand103335,2385685946,"reynolds, conrad earl",reynolds,conrad earl,M,S0AR00069,S0AR00069
cand103336,NA,"baker, gilbert",baker,gilbert,M,S0AR00077,S0AR00077
cand103337,29175906875,"hendren, kim",hendren,kim,U,S0AR00085,S0AR00085
cand103338,NA,"rogers, buddy hiluard g",rogers,buddy hiluard g,M,S0AR00093,S0AR00093
cand103341,29175883573,"reed, stanley e",reed,stanley e,M,S0AR00127,S0AR00127
cand103342,NA,"drown, ronald trevor",drown,ronald trevor,M,S0AR00135,S0AR00135
cand103343,NA,"alexander, john randall randy",alexander,john randall randy,M,S0AR00143,S0AR00143
cand103344,3816413052,"halter, william a",halter,william a,M,S0AR00168,S0AR00168
cand103345,2722889344,"morrison, daniel cochcran",morrison,daniel cochcran,M,S0AR00176,S0AR00176
cand103346,NA,"gray, john",gray,john,M,S0AR00184,S0AR00184
cand103349,500003e10,"atkinson, jacquie",atkinson,jacquie,F,H6CA52114,H6CA52114
cand103357,NA,"toel, william henry",toel,william henry,M,S0AZ00137,S0AZ00137
cand103359,NA,"starky, stuart",starky,stuart,M,S0AZ00152,S0AZ00152
cand103363,3533205192,"deakin, jimmie lee jr",deakin,jimmie lee,M,S0AZ00194,S0AZ00194
cand103364,NA,"simcox, chris",simcox,chris,U,S0AZ00202,S0AZ00202
cand103368,3739289453,"gilyeat, ian",gilyeat,ian,M,S0AZ00244,S0AZ00244
cand103369,3818445706,"mendoza, matthew james",mendoza,matthew james,M,H6CA53062,H6CA53062
cand103370,4136335056,"glassman, rodney britz",glassman,rodney britz,M,S0AZ00269,S0AZ00269
cand103371,4066303088,"parraz, randy alan",parraz,randy alan,M,S0AZ00277,S0AZ00277
cand103373,4075308579,"dougherty, john e iii",dougherty,john e,M,S0AZ00293,S0AZ00293
cand103374,4105323166,"nolan, david f",nolan,david f,M,S0AZ00301,S0AZ00301
cand103379,32791687502,"scurry smith, gloreatha glo",scurry smith,gloreatha glo,U,H6FL05169,H6FL05169
cand103397,NA,"horn, william g iii",horn,william g,M,S0CA00215,S0CA00215
cand103398,NA,"gough, james p",gough,james p,M,S0CA00223,S0CA00223
cand1034,4039285204,"himes, jim",himes,jim,M,20907,H8CT04172
cand103401,NA,"benjamin, medea susan",benjamin,medea susan,F,S0CA00256,S0CA00256
cand103404,500003e10,"lowe, thuy",lowe,thuy,F,H4FL05073,H4FL05073
cand103405,4113312408,"devore, chuck",devore,chuck,M,S0CA00298,S0CA00298
cand103406,2560817679,"ramirez, al",ramirez,al,M,S0CA00306,S0CA00306
cand103412,3425177431,"kaus, robert michael",kaus,robert michael,M,S0CA00363,S0CA00363
cand103414,3242150598,"barringer, adam",barringer,adam,M,H6FL06100,H6FL06100
cand103432,NA,"miles, floyd mike",miles,floyd mike,M,S0CO00203,S0CO00203
cand103435,3067022169,"tidwell, h cleve jr",tidwell,h cleve,M,S0CO00245,S0CO00245
cand103439,NA,"mckinlay, melissa",mckinlay,melissa,F,H6FL18071,H6FL18071
cand103440,NA,"norton, jane bergman",norton,jane bergman,F,S0CO00294,S0CO00294
cand103442,5613568907,"wiens, thomas j",wiens,thomas j,M,S0CO00310,S0CO00310
cand103456,NA,"giordano, philip a",giordano,philip a,M,S0CT00060,S0CT00060
cand103458,29105832351,"caligiuri, sam",caligiuri,sam,M,S0CT00094,S0CT00094
cand103459,30242105981,"mowery, tod",mowery,tod,M,H6FL18089,H6FL18089
cand103460,4558976369,"alpert, merrick",alpert,merrick,M,S0CT00110,S0CT00110
cand103461,2587816516,"pearson, roger j",pearson,roger j,M,S0CT00128,S0CT00128
cand103462,2614829563,"foley, tom",foley,tom,M,S0CT00136,S0CT00136
cand103463,NA,"forras, vincent",forras,vincent,M,S0CT00144,S0CT00144
cand103464,5e15,"mcmahon, linda",mcmahon,linda,F,S0CT00151,S0CT00151
cand103465,29145853045,"schiff, peter david",schiff,peter david,M,S0CT00169,S0CT00169
cand103466,NA,"whitnum, l lee",whitnum,l lee,U,S0CT00185,S0CT00185
cand103467,3238136186,"mosler, warren bruce",mosler,warren bruce,M,S0CT00193,S0CT00193
cand103469,27495366282,"hill, brian keith",hill,brian keith,M,S0CT00219,S0CT00219
cand103479,3818438032,"mitchell, perry j",mitchell,perry j,M,S0DE00118,S0DE00118
cand103484,100036486,"mast, brian",mast,brian,M,21735,H6FL18097
cand103489,33719810591,"kozell, richard steven iii",kozell,richard steven,M,H6FL18105,H6FL18105
cand103493,4629041838,"bensmihen, joseph",bensmihen,joseph,M,H6FL22073,H6FL22073
cand1035,5593458535,"grayson, alan mark",grayson,alan mark,M,20908,H6FL08213
cand103501,NA,"gallagher, tom",gallagher,tom,M,S0FL00205,S0FL00205
cand103504,NA,"sessman, ray",sessman,ray,M,S0FL00239,S0FL00239
cand103506,3192140294,"mccormick, darrell l",mccormick,darrell l,M,S0FL00254,S0FL00254
cand103507,NA,"simonetta, joseph r",simonetta,joseph r,M,S0FL00262,S0FL00262
cand103512,500003e10,"valdes, alina",valdes,alina,F,H6FL25027,H6FL25027
cand103514,2325662578,"burns, kevin",burns,kevin,M,S0FL00346,S0FL00346
cand103515,NA,"thorpe, marion d jr",thorpe,marion d,M,S0FL00353,S0FL00353
cand103519,3784695732,"snitker, alexander andrew",snitker,alexander andrew,M,S0FL00395,S0FL00395
cand103520,NA,"ferre, maurice",ferre,maurice,M,S0FL00411,S0FL00411
cand103521,NA,"decastro, bernard f",decastro,bernard f,M,S0FL00429,S0FL00429
cand103526,3818441519,"burkett, glenn a",burkett,glenn a,M,S0FL00478,S0FL00478
cand103527,2513780954,"greene, jeff",greene,jeff,M,S0FL00486,S0FL00486
cand103539,33546551409,"jacobson, oren",jacobson,oren,M,H6IL03130,H6IL03130
cand103555,NA,"macgregor, paul robert",macgregor,paul robert,M,S0GA00252,S0GA00252
cand103560,3158093002,"hadley, rakeim j",hadley,rakeim j,U,S0GA00302,S0GA00302
cand103561,3820450355,"thurmond, michael lamar",thurmond,michael lamar,M,S0GA00310,S0GA00310
cand103577,4203412447,"woerner, andrew douglas",woerner,andrew douglas,M,S0HI00159,S0HI00159
cand103585,NA,"salier, bill",salier,bill,M,S0IA00085,S0IA00085
cand103587,2621844754,"krause, robert allen",krause,robert allen,M,S0IA00101,S0IA00101
cand103588,5503012567,"fiegen, thomas l",fiegen,thomas l,M,S0IA00119,S0IA00119
cand103589,500003e10,"conlin, roxanne barton",conlin,roxanne barton,F,S0IA00127,S0IA00127
cand103598,2386696009,"sullivan, p tom",sullivan,p tom,U,S0ID00107,S0ID00107
cand1036,2369676931,"posey, bill",posey,bill,M,20909,H8FL15107
cand103616,NA,"cox, john h",cox,john h,M,S0IL00188,S0IL00188
cand103617,3427175755,"jagla, stan",jagla,stan,M,S0IL00196,S0IL00196
cand103618,3490205861,"giannoulias, alexander",giannoulias,alexander,M,S0IL00204,S0IL00204
cand103621,NA,"jackson, cheryle",jackson,cheryle,F,S0IL00238,S0IL00238
cand103622,3818433791,"wallace, eric m",wallace,eric m,M,S0IL00246,S0IL00246
cand103624,NA,"arrington, john",arrington,john,M,S0IL00279,S0IL00279
cand103625,NA,"lowery, donald don",lowery,donald don,M,S0IL00287,S0IL00287
cand103627,2350667461,"hughes, patrick",hughes,patrick,M,S0IL00303,S0IL00303
cand103628,5e15,"thomas, kathleen",thomas,kathleen,F,S0IL00311,S0IL00311
cand103629,4104330713,"meister, jacob j",meister,jacob j,M,S0IL00329,S0IL00329
cand103630,29185957933,"hoffman, david",hoffman,david,M,S0IL00337,S0IL00337
cand103632,2752902570,"dabney, corey",dabney,corey,M,S0IL00352,S0IL00352
cand103634,4644043704,"boyd, willie will eugene jr",boyd,willie will eugene,M,S0IL00378,S0IL00378
cand103645,3474202582,"behney, richard j",behney,richard j,M,S0IN00103,S0IN00103
cand103646,4153356037,"bates, don jr",bates,don,M,S0IN00111,S0IN00111
cand103647,NA,"d ippolito, tamyra r",dippolito,tamyra r,F,S0IN00129,S0IN00129
cand103648,NA,"cullerton, tom",cullerton,tom,M,H6IL08154,H6IL08154
cand103662,4166386116,"schollenberger, charles david",schollenberger,charles david,M,S0KS00125,S0KS00125
cand103664,5e15,"johnston, lisa",johnston,lisa,F,S0KS00141,S0KS00141
cand103665,3816413782,"haley, david",haley,david,M,S0KS00158,S0KS00158
cand103666,3259183228,"wiesner, patrick",wiesner,patrick,M,S0KS00166,S0KS00166
cand103677,3822458931,"noland, michael",noland,michael,M,H6IL08162,H6IL08162
cand103678,5e15,"price, darlene fitzgerald",price,darlene fitzgerald,F,S0KY00115,S0KY00115
cand103679,29055812047,"conway, john william jack",conway,john william jack,M,S0KY00123,S0KY00123
cand103680,3158096485,"grayson, c m trey",grayson,c m trey,U,S0KY00131,S0KY00131
cand103682,2340663696,"johnson, william ejner jr",johnson,william ejner,M,S0KY00164,S0KY00164
cand103683,2666853050,"sweeney, maurice marion",sweeney,maurice marion,M,S0KY00172,S0KY00172
cand103685,3820450370,"thoney, roger",thoney,roger,M,S0KY00198,S0KY00198
cand1037,2687869052,"rooney, tom",rooney,tom,M,20910,H8FL16022
cand103706,2493766875,"lang, william robert bob jr",lang,william robert bob,M,S0LA00170,S0LA00170
cand103708,2931983860,"spears, michael lane",spears,michael lane,M,S0LA00196,S0LA00196
cand103712,3110058422,"traylor, chet d",traylor,chet d,M,S0LA00238,S0LA00238
cand103716,NA,"wooton, ernest d",wooton,ernest d,M,S0LA00279,S0LA00279
cand103720,31543283441,"sullivan, michael j",sullivan,michael j,M,S0MA00034,S0MA00034
cand103721,28269067323,"robinson, jack e iii",robinson,jack e,M,S0MA00042,S0MA00042
cand103724,500001e10,"coakley, martha",coakley,martha,F,S0MA00075,S0MA00075
cand103725,4123346808,"khazei, alan",khazei,alan,M,S0MA00091,S0MA00091
cand103726,NA,"pagliuca, steve",pagliuca,steve,M,S0MA00125,S0MA00125
cand103728,2464753615,"kennedy, joseph l",kennedy,joseph l,M,S0MA00141,S0MA00141
cand103746,NA,"timmerman, kenneth r",timmerman,kenneth r,M,S0MD00192,S0MD00192
cand103750,3818446725,"rappaport, paul harry",rappaport,paul harry,M,S0MD00234,S0MD00234
cand103751,NA,"rutledge, james b iii",rutledge,james b,M,S0MD00242,S0MD00242
cand103752,4067297042,"wargotz, eric",wargotz,eric,M,S0MD00259,S0MD00259
cand103755,3822471175,"amedori, carmen",amedori,carmen,U,S0MD00283,S0MD00283
cand103756,2816933328,"dempsey, stephens ruffner",dempsey,stephens ruffner,M,S0MD00291,S0MD00291
cand103757,NA,"garner, christopher john",garner,christopher john,M,S0MD00309,S0MD00309
cand103762,2631836458,"cohen, neil h",cohen,neil h,M,S0MD00358,S0MD00358
cand103773,NA,"lawrence, mark w",lawrence,mark w,M,S0ME00020,S0ME00020
cand103774,NA,"dunfey, robert j jr",dunfey,robert j,M,S0ME00046,S0ME00046
cand103779,29325970133,"durant, clark",durant,clark,M,S0MI00056,S0MI00056
cand103783,NA,"byrum, dianne yvonne",byrum,dianne yvonne,F,S0MI00106,S0MI00106
cand103785,NA,"corliss, michael robert",corliss,michael robert,M,S0MI00122,S0MI00122
cand103786,NA,"ness, thomas patrick",ness,thomas patrick,M,S0MI00130,S0MI00130
cand103787,NA,"forton, mark a",forton,mark a,M,S0MI00148,S0MI00148
cand103788,NA,"abel, matthew r",abel,matthew r,M,S0MI00155,S0MI00155
cand103794,2793921126,"olson, robert a",olson,robert a,M,S0MN00054,S0MN00054
cand1038,5e15,"kosmas, suzanne",kosmas,suzanne,F,20911,H8FL24026
cand103800,NA,"miles, steven haverstock",miles,steven haverstock,M,S0MN00112,S0MN00112
cand103801,NA,"janezich, jerry r",janezich,jerry r,M,S0MN00138,S0MN00138
cand103802,NA,"flynn, michael",flynn,michael,M,H6IL18104,H6IL18104
cand103803,NA,"yanisch, rebecca",yanisch,rebecca,F,S0MN00153,S0MN00153
cand103806,NA,"davis, leslie",davis,leslie,U,S0MN00187,S0MN00187
cand103831,NA,"purgason, charles allen",purgason,charles allen,M,S0MO00191,S0MO00191
cand103832,100034198,"lopez, adam",lopez,adam,M,H6IL18120,H6IL18120
cand103838,3108054571,"maldonado, hector",maldonado,hector,M,S0MO00266,S0MO00266
cand103851,NA,"brown, troy",brown,troy,M,S0MS00037,S0MS00037
cand103852,3816418489,"cole, rickey l",cole,rickey l,M,S0MS00045,S0MS00045
cand103866,NA,"easley, michael f",easley,michael f,M,S0NC00095,NC5998
cand103871,3743275365,"vinroot, richard allen",vinroot,richard allen,M,S0NC00145,S0NC00145
cand103872,29075808987,"lewis, kenneth winstead",lewis,kenneth winstead,M,S0NC00152,S0NC00152
cand103873,3410175926,"beitler, michael",beitler,michael,M,S0NC00160,S0NC00160
cand103874,5442807802,"deaton, frank ii",deaton,frank,M,S0NC00178,S0NC00178
cand103877,4130334082,"cunningham, cal",cunningham,cal,M,S0NC00202,S0NC00202
cand103878,2962006983,"burks, edward james",burks,edward james,M,S0NC00210,S0NC00210
cand103888,4021297260,"sand, duane allen",sand,duane allen,M,S0ND00069,S0ND00069
cand103889,NA,"carlson, alan h",carlson,alan h,M,S0ND00077,S0ND00077
cand103890,3527204999,"sorum, paul jeffrey",sorum,paul jeffrey,M,S0ND00085,S0ND00085
cand103891,5e15,"potter, tracy arlen",potter,tracy arlen,U,S0ND00101,S0ND00101
cand103893,5221541840,"kalk, brian",kalk,brian,M,S0ND00127,H2ND00099
cand103895,NA,"rustad, elliott l",rustad,elliott l,M,S0NE00023,S0NE00023
cand103896,NA,"grogan, george c",grogan,george c,M,S0NE00031,S0NE00031
cand103897,NA,"moore, scott dale",moore,scott dale,M,S0NE00049,S0NE00049
cand103899,NA,"hergert, david",hergert,david,M,S0NE00064,S0NE00064
cand1039,29055812489,"minnick, walter clifford",minnick,walter clifford,M,20912,H8ID01090
cand103917,2954989698,"bender, james c",bender,james c,M,S0NH00243,S0NH00243
cand103918,5513256997,"binnie, william h",binnie,william h,M,S0NH00250,S0NH00250
cand103919,27545446844,"lamontagne, ovide marc",lamontagne,ovide marc,M,S0NH00268,S0NH00268
cand103923,NA,"whitman, christine todd",whitman,christine todd,F,S0NJ00019,S0NJ00019
cand103928,29105832781,"byrne, brendan thomas jr",byrne,brendan thomas,M,S0NJ00068,S0NJ00068
cand103930,NA,"levin, susan bass",levin,susan bass,F,S0NJ00084,S0NJ00084
cand103931,NA,"ellett, emerson",ellett,emerson,M,S0NJ00092,S0NJ00092
cand103933,NA,"dinizio, patrick m",dinizio,patrick m,M,S0NJ00118,S0NJ00118
cand103940,NA,"davis, william franklin",davis,william franklin,M,S0NM00033,S0NM00033
cand103947,NA,"hamzik, richard",hamzik,richard,M,S0NV00070,S0NV00070
cand103953,5e15,"angle, sharron e",angle,sharron e,F,S0NV00138,H6NV02172
cand103954,3215124987,"parson, billy",parson,billy,M,S0NV00146,S0NV00146
cand103955,500003e10,"titus, robin lee",titus,robin lee,U,S0NV00153,S0NV00153
cand103957,NA,"chachas, john gregory",chachas,john gregory,M,S0NV00179,S0NV00179
cand103958,3230125425,"kozak, charles chuck",kozak,charles chuck,M,S0NV00187,S0NV00187
cand103960,3800300409,"tarkanian, danny",tarkanian,danny,M,H2NV04045,H2NV04045
cand103962,NA,"wiley, mike",wiley,mike,M,S0NV00229,S0NV00229
cand103964,5e15,"lowden, sue",lowden,sue,F,S0NV00252,S0NV00252
cand103965,NA,"flume, charles william sr",flume,charles william,M,S0NV00260,S0NV00260
cand103966,3818446955,"christensen, chad ryan",christensen,chad ryan,M,S0NV00278,S0NV00278
cand103982,500003e10,"galloway, pamela gail",galloway,pamela gail,F,H6IN03211,H6IN03211
cand103996,NA,"beller, jeff",beller,jeff,M,S0NY00220,S0NY00220
cand1040,5e15,"halvorson, deborah debbie",halvorson,deborah debbie,F,20913,H8IL11113
cand104002,4558946000,"dioguardi, joseph j",dioguardi,joseph j,M,15095,H4NY20055
cand104003,NA,"dunau, mark joseph",dunau,mark joseph,M,S0NY00295,S0NY00295
cand104004,NA,"clifton, john",clifton,john,M,S0NY00311,S0NY00311
cand104005,NA,"graham, jeffrey e",graham,jeffrey e,M,S0NY00329,S0NY00329
